Film_id,Title,Premiere,Runtime,Genres,Language,Type,Description,Age_certification,IMDB_id,IMDB_score,IMDB_votes,TMDB_score,TMDB_votes
tm299677,Hold the Dark,"September 28, 2018",125,"Thriller, Mystery, Crime",English,MOVIE,"In the grim Alaskan winter, a naturalist hunts for wolves blamed for killing a local boy, but he soon finds himself swept into a chilling mystery.",UNKNOWN,tt5057140,5.6,36928.0,5.318,16.591
tm868777,"Love, Guaranteed","September 3, 2020",91,"Romance, Comedy",English,MOVIE,"To save her small law firm, earnest lawyer Susan takes a high-paying case from Nick, a charming new client who wants to sue a dating website that guarantees love. But as the case heats up, so do Susan and Nick's feelings for each other.",UNKNOWN,tt11100856,5.6,17352.0,6.5,12.174
tm866782,One-Way to Tomorrow,"June 19, 2020",90,"Comedy, Romance",Turkish,MOVIE,"Two strangers meet on a journey from Ankara to Izmir. Although having a rough start, their relationship takes a different path when they realize they have to confront themselves and would like to clean the slate as they get to know each other.",UNKNOWN,tt11988512,5.6,4819.0,5.8,3.827
tm947555,Sarah Cooper: Everything's Fine,"October 27, 2020",49,Comedy,English,MOVIE,"Comedian and Trump lip-synching sensation Sarah Cooper tackles politics, race and other light topics in a sketch special packed with celebrity guests.",UNKNOWN,tt12882062,5.6,1726.0,5.3,3.177
tm450673,The Last Laugh,"January 11, 2019",98,Comedy,English,MOVIE,"After moving to a retirement home, restless talent manager Al reconnects with long-ago client Buddy and coaxes him back out on the comedy circuit.",UNKNOWN,tt7427356,5.6,5859.0,5.4,9.83
tm990972,The Last Paradiso,"February 5, 2021",107,"Drama, Romance",Italian,MOVIE,"In 1950s Italy, a farmer's dream of improving workers’ living conditions collapses when he falls for a landowner's daughter. Based on true events.",UNKNOWN,tt11428926,5.6,1350.0,5.9,16.792
tm832916,The Midnight Sky,"December 23, 2020",118,"Science Fiction, Drama",English,MOVIE,"This post-apocalyptic tale follows Augustine, a lonely scientist in the Arctic, as he races to stop Sully and her fellow astronauts from returning home to a mysterious global catastrophe.",pg-13,tt10539608,5.6,82362.0,5.8,22.231
tm890660,The Paramedic,"September 16, 2020",94,Comedy,Spanish,MOVIE,"Unable to face his new reality in a wheelchair, Ángel develops a deadly obsession with the woman who left him and unleashes a sinister revenge plot.",UNKNOWN,tt11127690,5.6,12396.0,6.1,11.497
tm918706,The Sleepover,"August 21, 2020",103,"Family, Action",English,MOVIE,"Two siblings who discover their seemingly normal mom is a former thief in witness protection. Mom is forced to pull one last job, and the kids team up to rescue her over the course of an action-packed night.",UNKNOWN,tt10888708,5.6,10399.0,6.5,9.88
tm931686,Vampires vs. the Bronx,"October 2, 2020",86,"Comedy, Horror",English,MOVIE,Three gutsy kids from a rapidly gentrifying Bronx neighborhood stumble upon a sinister plot to suck all the life from their beloved community.,pg-13,tt8976576,5.6,9815.0,5.9,11.147
tm1030283,Why Did You Kill Me?,"April 14, 2021",83,"Documentary, Crime",English,MOVIE,The line between justice and revenge blurs when a devastated family uses social media to track down the people who killed 24-year-old Crystal Theobald.,r,tt14318430,5.6,4175.0,6.2,14.666
tm872108,A Week Away,"March 26, 2021",97,"Drama, Music, Romance, Comedy",English,MOVIE,"With nowhere left to go, Will Hawkins finds himself at camp for the first time. His instinct is to run, but he finds a friend, a father figure, and even a girl who awakens his heart. Most of all, he finally finds a home.",UNKNOWN,tt11388278,5.7,4608.0,7.0,30.453
tm886188,Caught by a Wave,"March 25, 2021",99,"Drama, Romance",Italian,MOVIE,A summer fling born under the Sicilian sun quickly develops into a heartbreaking love story that forces a boy and girl to grow up too quickly.,UNKNOWN,tt12013758,5.7,1289.0,6.7,24.706
